发博时间,新闻id,微博内容,博客点赞数,博客评论数,博客转发数
Tue Feb 01 00:44:57 +0800 2022,4731862922566891,【#王嘉尔萧敬腾彭永琛唱明天会更好#】虽然动作魔性，但和声超棒[哈哈]@王嘉尔 @萧敬腾 @彭永琛Sean #龙腾虎跃中国年# http://t.cn/A6iabUr9 ​​​,973,153,93
Tue Feb 01 00:30:11 +0800 2022,4731859206409306,#难忘今宵#【一首歌陪伴几代人[心]#听完难忘今宵才算过年#】熟悉的旋律再次响起，难忘今宵！祝福大家新春快乐！过年好！#新年快乐#http://t.cn/A6ia4Ehv ​​​,13252,702,930
Tue Feb 01 00:28:38 +0800 2022,4731858817124739,【#朱一龙赵丽颖王俊凯郁可唯春晚压轴#】@朱一龙 @赵丽颖 @TFBOYS-王俊凯 @郁可唯 同唱《欢乐时光》，一首听了就觉得快乐的歌[心]收藏，单曲循环起来~http://t.cn/A6ia4YIa ​​​,178412,6934,11777
Tue Feb 01 00:24:44 +0800 2022,4731857835135852,【#忆江南画风好高级#[微风]】《忆江南》一出，陶醉了，仿佛在画中游览。#今年春晚的中国风太惊艳了#，怎一个“美”字了得！http://t.cn/A6iaUBos ​​​,15264,1215,2889
Tue Feb 01 00:21:09 +0800 2022,4731856937550531,【#春晚上的中国式浪漫#】冰天雪地中演奏交响乐，冰墩墩、雪容融点亮奥运场馆……这一幕幕，都是中国人对冬奥最浪漫的祝福！2月4日，共赴冰雪之约~ http://t.cn/A6iayyHp ​​​,793,56,82
Tue Feb 01 00:10:43 +0800 2022,4731854307723344,#新年快乐#【#王嘉尔萧敬腾陈坤同台演唱#】今晚，歌手@王嘉尔 @萧敬腾 @陈坤 @彭永琛Sean 同唱这首《黄河长江》。巍哉江河，塑我中国，骄傲！ http://t.cn/A6ia2pNy ​​​,5079,583,586
Tue Feb 01 00:10:35 +0800 2022,4731854274171940,#新年快乐#【#巴赫中文拜年#并祝福冬奥[心]】#春晚冬奥梦幻联动#，2月4日北京见！期待~ http://t.cn/A6ia2NMV ​​​,996,76,64
Tue Feb 01 00:01:22 +0800 2022,4731851954989546,【#虎年拜年天花板#来了！#航天员太空拜年#[心]】网友：太空出差三人组上天时带了百宝箱吗？居然还能写春联！http://t.cn/A6iaAmmP ​​​,18752,1237,1853
Mon Jan 31 23:59:59 +0800 2022,4731851606069995,#虎年第一天#【此刻，一起转发微博，祝大家#虎年大吉#[心]】虎年到，迎新春！为自己发条微博，新的一年好运连连！ ​​​,2536,514,2860
Mon Jan 31 23:51:25 +0800 2022,4731849451246981,【转发春晚彩蛋！#刘欢戴欢欢#】 ​​​,10193,378,542
Mon Jan 31 23:45:11 +0800 2022,4731847882049122,【#秦腔唱的净是大实话#[笑而不语]】“走一步退一步全当没走，高桌子低板凳都是木头，你大舅你二舅都是你舅。”网友：全是大实话，调子也好听[心] http://t.cn/A6iaZqLZ ​​​,3892,450,64
Mon Jan 31 23:34:10 +0800 2022,4731845109620825,【#春晚再次致敬医护工作者#[心]】去年的春晚现抗疫医护墙，今年的春晚又将医护工作者的故事搬上舞台[心] 转起！对他们说一声“谢谢”，致敬！ http://t.cn/A6iazqha ​​​,5911,1350,1997
Mon Jan 31 23:25:02 +0800 2022,4731842811136649,【#任嘉伦王源宋茜吉克隽逸梦幻联动#】当唱跳与杂技相结合，会是什么效果？@任嘉伦Allen @TFBOYS-王源 @吉克隽逸 @宋茜 http://t.cn/A6iazM7k ​​​,49181,3062,31474
Mon Jan 31 23:15:09 +0800 2022,4731840323128416,【#三星堆青铜大面具亮相春晚#】#全世界已知最大的青铜面具来自三星堆#，跨越3000多年，依旧惊艳！http://t.cn/A6iahS84 ​​​,10046,648,842
Mon Jan 31 23:07:02 +0800 2022,4731838280765758,【#沈腾初一去健身#[加油]】开心麻花用小品给观众带来欢乐，但这背后并不轻松。为追求完美，@沈腾 近两个月都凌晨两三点才睡。彩排时他突发头痛，所幸检查后并无大碍。面对团队的关心，他立下flag：初一就开始健身、养生。#沈腾说下次春晚表演武术#，记得督促他锻炼，注意身体~#龙腾虎跃中国年#  ​​​,1505,127,126
Mon Jan 31 23:03:12 +0800 2022,4731837316338189,【#刘涛托起了撒贝宁#[哈哈]】#刘涛撒贝宁错位图# ​​​,5825,394,213
Mon Jan 31 22:55:49 +0800 2022,4731835458528010,【网友：#撒贝宁怎么虎虎祟祟的#[哈哈]】#今晚最佳演员撒贝宁#，过于活泼了~（图自网友） ​​​,18843,1353,2044
Mon Jan 31 22:51:59 +0800 2022,4731834493054240,【#撒贝宁 虎头虎脑不会嘴瓢#】撒贝宁：“祝大家虎头虎脑，不会嘴瓢。”网友：#撒贝宁的现挂能力#，可以的[笑而不语] http://t.cn/A6iXsDKg ​​​,35441,992,916
Mon Jan 31 22:47:21 +0800 2022,4731833327291473,【#王亚平女儿让妈妈摘颗星星回来#】春晚把浩瀚星空搬上舞台，这是专属于中国人的浪漫[心] 转发！中国加油！ http://t.cn/A6iXsMel ​​​,19537,594,1347
